timestamp,readable_timestamp,provider_id,federation_id,computation_time,total_time,kafka_latency_ms,peak_memory_mb,cpu_percent,bytes_transmitted,dataset_name,status,lattice_size,encryption_time,serialization_time,network_time,service_discovery_time,key_exchange_time,key_verification_time,message_count,retry_count,strategy,threshold,context_sensitivity,node_count,federation_start_time
1749770227.9496112,2025-06-13 00:17:07,ALM_1,fed_fufft6oz,14.586519241333008,14.586746454238892,7.434844970703125,216.69140625,0.0,54894,mushroom_example,completed,53296,1.430511474609375e-06,0.0002086162567138672,0.0025675296783447266,0.0011713504791259766,0.003060579299926758,0.00119781494140625,2,0,Unknown,0.5,0.2,1,1749770213.3533049
1749770231.6097322,2025-06-13 00:17:11,ALM_5,fed_fufft6oz,18.23752188682556,18.23780131340027,9.939908981323242,217.77734375,0.0,107890,mushroom_example,completed,106288,2.1457672119140625e-06,0.0002758502960205078,0.0029380321502685547,0.0007534027099609375,0.0012569427490234375,0.00032067298889160156,2,0,Unknown,0.5,0.2,1,1749770213.3610322
1749770232.5716038,2025-06-13 00:17:12,ALM_3,fed_fufft6oz,19.207488775253296,19.207685947418213,10.43701171875,218.04296875,0.0,132522,mushroom_example,completed,130920,1.6689300537109375e-06,0.0003154277801513672,0.0018019676208496094,0.0007517337799072266,0.002339601516723633,0.0009262561798095703,2,0,Unknown,0.5,0.2,1,1749770213.3524835
1749770234.1306791,2025-06-13 00:17:14,ALM_2,fed_fufft6oz,20.762476682662964,20.762715339660645,11.797428131103516,224.59765625,0.0,136076,mushroom_example,completed,134476,1.6689300537109375e-06,0.0003056526184082031,0.0026607513427734375,0.0005826950073242188,0.0012862682342529297,0.0004410743713378906,2,0,Unknown,0.5,0.2,1,1749770213.3549678
1749825176.4242017,2025-06-13 15:32:56,ALM_4,fed_2lfahlzy,0.011755943298339844,0.012748003005981445,119.42553520202637,199.390625,0.0,1572,T10I4D100K,completed,0,9.5367431640625e-07,0.0001506805419921875,0.002334117889404297,0.0009028911590576172,0.006078958511352539,0.004209041595458984,2,0,Unknown,0.5,0.2,1,1749825176.2911606
1749825176.4311893,2025-06-13 15:32:56,ALM_1,fed_2lfahlzy,0.009724140167236328,0.009994745254516602,127.49934196472168,199.2734375,0.0,1574,T10I4D100K,completed,0,9.5367431640625e-07,0.00013899803161621094,0.0011637210845947266,0.0005867481231689453,0.0047223567962646484,0.003209352493286133,2,0,Unknown,0.5,0.2,1,1749825176.2926624
1749825176.482954,2025-06-13 15:32:56,ALM_5,fed_2lfahlzy,0.006763935089111328,0.006934165954589844,178.6949634552002,199.62109375,0.0,1576,T10I4D100K,completed,0,7.152557373046875e-07,0.00014209747314453125,0.0011734962463378906,0.0004956722259521484,0.0039370059967041016,0.0031328201293945312,2,0,Unknown,0.5,0.2,1,1749825176.2965353
1749825176.563688,2025-06-13 15:32:56,ALM_2,fed_2lfahlzy,0.009108781814575195,0.009467840194702148,259.2301368713379,199.96484375,0.0,1575,T10I4D100K,completed,0,2.384185791015625e-06,0.0002551078796386719,0.0008037090301513672,0.0007748603820800781,0.005200624465942383,0.0036058425903320312,2,0,Unknown,0.5,0.2,1,1749825176.2939522
1749825176.6539316,2025-06-13 15:32:56,ALM_3,fed_2lfahlzy,0.014974355697631836,0.01526331901550293,362.06579208374023,199.6953125,0.0,1573,T10I4D100K,completed,0,1.1920928955078125e-06,0.00016164779663085938,0.0010783672332763672,0.001283407211303711,0.009462833404541016,0.006814479827880859,2,0,Unknown,0.5,0.2,1,1749825176.275699
1749773624.133831,2025-06-13 01:13:44,ALM_3,fed_n6822xyj,14.481698989868164,14.48200249671936,1.8222332000732422,208.56640625,0.0,1599,mushroom_example,completed,0,3.0994415283203125e-06,0.00012803077697753906,0.0010988712310791016,0.0007832050323486328,0.0033483505249023438,0.0022602081298828125,2,0,Unknown,0.5,0.2,1,1749773609.6492403
1749773628.760808,2025-06-13 01:13:48,ALM_2,fed_n6822xyj,19.10015082359314,19.100989818572998,8.841514587402344,209.2734375,0.0,70815,mushroom_example,completed,0,2.6226043701171875e-06,0.0003864765167236328,0.0016744136810302734,0.0007448196411132812,0.005055904388427734,0.0026192665100097656,2,0,Unknown,0.5,0.2,1,1749773609.649579
1749773629.3798552,2025-06-13 01:13:49,ALM_4,fed_n6822xyj,19.713440418243408,19.71372938156128,13.790607452392578,209.50390625,0.0,101934,mushroom_example,completed,0,7.152557373046875e-06,0.0002923011779785156,0.00600123405456543,0.000743865966796875,0.003879547119140625,0.002122163772583008,2,0,Unknown,0.5,0.2,1,1749773609.6513073
1749773630.6615942,2025-06-13 01:13:50,ALM_1,fed_n6822xyj,20.993642568588257,20.994163036346436,14.816522598266602,208.828125,0.0,120705,mushroom_example,completed,0,2.86102294921875e-06,0.0004649162292480469,0.003045797348022461,0.0005826950073242188,0.0040204524993896484,0.002354860305786133,2,0,Unknown,0.5,0.2,1,1749773609.6507301
1749773634.3655403,2025-06-13 01:13:54,ALM_5,fed_n6822xyj,24.699883699417114,24.700128078460693,14.777421951293945,210.5546875,0.0,176883,mushroom_example,completed,0,2.1457672119140625e-06,0.0003876686096191406,0.0037539005279541016,0.0011293888092041016,0.006387948989868164,0.002663135528564453,2,0,Unknown,0.5,0.2,1,1749773609.649607
1749823544.06912,2025-06-13 15:05:44,ALM_5,fed_m61sjtp8,0.013260602951049805,0.013463020324707031,22.270679473876953,197.4140625,0.0,1573,RecordLink,completed,0,1.9073486328125e-06,0.00019550323486328125,0.0012049674987792969,0.0008862018585205078,0.008532047271728516,0.006587982177734375,2,0,Unknown,0.5,0.2,1,1749823544.0316226
1749823545.06333,2025-06-13 15:05:45,ALM_2,fed_m61sjtp8,0.01254582405090332,0.01293325424194336,997.9557991027832,197.64453125,0.0,1573,RecordLink,completed,0,2.384185791015625e-06,0.00022864341735839844,0.0012869834899902344,0.0008990764617919922,0.008094072341918945,0.005972146987915039,2,0,Unknown,0.5,0.2,1,1749823544.051345
1749823545.0725265,2025-06-13 15:05:45,ALM_4,fed_m61sjtp8,0.011630058288574219,0.012007951736450195,1008.3937644958496,197.890625,0.0,1568,RecordLink,completed,0,1.430511474609375e-06,0.00019478797912597656,0.0014781951904296875,0.00079345703125,0.007421016693115234,0.005667209625244141,2,0,Unknown,0.5,0.2,1,1749823544.0511038
