dataset_name,fraction,num_providers,type_partition,num_objects,num_attributes,density,context_sensitivity,threshold,global_stability,Runtime,CPU_Usage,RAM_Usage,RAM_Used
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.30000000000000004,0.5,0.8125,599.6744310855865,12.5,13.4,1.380746841430664
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.4,0.5,0.761381172839506,599.8017356395721,34.2,13.4,1.3839912414550781
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.5,0.5,0.8437142857142857,599.9275081157684,35.7,13.4,1.3860340118408203
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.6,0.5,0.8444444444444444,600.0528621673584,26.3,13.45,1.3872356414794922
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.7000000000000001,0.5,0.8208402777777777,600.1801509857178,25.0,13.45,1.3872108459472656
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.8,0.5,0.8425,600.3106961250305,32.5,13.45,1.3871955871582031
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.9,0.5,0.8035714285714286,600.4406523704529,26.3,13.45,1.3870868682861328
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.1,0.8,0.9765,600.5650949478149,26.2,13.45,1.3870868682861328
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.2,0.8,0.899795918367347,600.6912944316864,28.55,13.45,1.3870735168457031
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.30000000000000004,0.8,0.9910714285714286,600.8227066993713,35.0,13.45,1.3883686065673828
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.4,0.8,1.0,600.9514026641846,35.0,13.45,1.3920669555664062
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.5,0.8,0.8827222222222222,601.0800697803497,32.5,13.45,1.3920669555664062
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.6,0.8,0.9285714285714286,601.209755897522,32.5,13.35,1.379659652709961
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.7000000000000001,0.8,1.0,601.336606502533,37.5,13.35,1.3797664642333984
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.8,0.8,1.0,601.4656105041504,41.2,13.35,1.3797531127929688
dataset_200_10_2_IID,0.75,10,IID,200,10,0.2,0.9,0.8,0.9285714285714286,601.5978138446808,30.0,13.4,1.3812942504882812
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.1,0.0,0.7463329199735449,601.7266428470612,30.0,13.4,1.3812618255615234
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.2,0.0,0.6476280752466319,601.853857755661,32.5,13.4,1.3812522888183594
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.30000000000000004,0.0,0.6744169212195654,601.9805688858032,35.0,13.4,1.3812446594238281
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.4,0.0,0.7167777785655204,602.1089653968811,0.0,13.4,1.3812332153320312
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.5,0.0,0.7315061848168809,602.2259712219238,2.4,13.4,1.3812217712402344
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.6,0.0,0.8324652042050186,602.342844247818,2.5,13.4,1.3812141418457031
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.7000000000000001,0.0,0.757778656536721,602.4658613204956,2.4,13.4,1.3812007904052734
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.8,0.0,0.6697927132391417,602.5826601982117,0.0,13.4,1.3812007904052734
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.9,0.0,0.7714861871150931,602.6990330219269,0.0,13.4,1.381195068359375
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.1,0.5,0.85114,602.8159945011139,2.5,13.4,1.3812923431396484
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.2,0.5,0.7716836734693878,602.9319565296173,6.8,13.4,1.3812923431396484
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.30000000000000004,0.5,0.85,603.0474421977997,7.5,13.4,1.3812923431396484
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.4,0.5,0.7214506172839505,603.1623961925507,0.0,13.4,1.3812923431396484
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.5,0.5,1.0,603.2777464389801,0.0,13.4,1.3812904357910156
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.6,0.5,0.8214285714285714,603.3919298648834,5.0,13.4,1.3812217712402344
dataset_200_10_4_IID,0.5,10,IID,200,10,0.4,0.7000000000000001,0.5,0.859375,603.5060665607452,0.0,13.4,1.3812122344970703
