CPU_Usage,CPU_UsageFedFCA,CPU_Usage_Classical_FCA,RAM_Usage,RAM_UsageFedFCA,RAM_Usage_Classical_FCA,RAM_Used,RAM_UsedFedFCA,RAM_Used_Classical_FCA,Runtime FedFCA_ARES_LDP,Runtime_Classical_FCA,context_sensitivity,dataset_name,fraction,global_stability,num_providers,runtimeFedFCA,threshold,type_partition
36.2,36.2,59.55,16,16,15.55,1.7147979736328125,1.7147979736328125,1.6576042175292969,1059.439923286438,45329.75389957428,0.1,RecordLink,0.5,0.6152000723829381,50,1059.439923286438,0,IID
27.5,27.5,59.55,15.649999999999999,15.649999999999999,15.55,1.6658859252929688,1.6658859252929688,1.6576042175292969,1190.4993760585785,45329.75389957428,0.2,RecordLink,0.5,0.6007583715012722,50,1190.4993760585785,0,IID
0,0,59.55,15.75,15.75,15.55,1.6810302734375,1.6810302734375,1.6576042175292969,938.942440032959,45329.75389957428,0.3,RecordLink,0.5,0.402883854145397,50,938.942440032959,0,IID
2.4,2.4,59.55,15.75,15.75,15.55,1.682943344116211,1.682943344116211,1.6576042175292969,1202.2141888141632,45329.75389957428,0.4,RecordLink,0.5,0.7562602341774959,50,1202.2141888141632,0,IID
32.5,32.5,59.55,15.8,15.8,15.55,1.6872673034667969,1.6872673034667969,1.6576042175292969,986.3415532112122,45329.75389957428,0.5,RecordLink,0.5,0.34825702627218014,50,986.3415532112122,0,IID
27.5,27.5,59.55,15.95,15.95,15.55,1.707113265991211,1.707113265991211,1.6576042175292969,1028.540212392807,45329.75389957428,0.6,RecordLink,0.5,0.673331747624342,50,1028.540212392807,0,IID
0,0,59.55,16.05,16.05,15.55,1.7209320068359375,1.7209320068359375,1.6576042175292969,1430.4387855529785,45329.75389957428,0.7,RecordLink,0.5,0.7538853381676855,50,1430.4387855529785,0,IID
2.4,2.4,59.55,16.1,16.1,15.55,1.721395492553711,1.721395492553711,1.6576042175292969,1269.5176463127136,45329.75389957428,0.8,RecordLink,0.5,0.796372688751926,50,1269.5176463127136,0,IID
0,0,59.55,16.05,16.05,15.55,1.7149639129638672,1.7149639129638672,1.6576042175292969,1308.6326615810394,45329.75389957428,0.9,RecordLink,0.5,0.6468493776889983,50,1308.6326615810394,0,IID
2.4,2.4,59.55,16.05,16.05,15.55,1.7195663452148438,1.7195663452148438,1.6576042175292969,804.317800283432,45329.75389957428,0.1,RecordLink,0.5,0.640743970863929,50,804.317800283432,0,Non-IID
5.25,5.25,59.55,16.200000000000003,16.200000000000003,15.55,1.7370414733886719,1.7370414733886719,1.6576042175292969,560.852283000946,45329.75389957428,0.2,RecordLink,0.5,0.8009691606879592,50,560.852283000946,0,Non-IID
27.5,27.5,59.55,16.4,16.4,15.55,1.7637863159179688,1.7637863159179688,1.6576042175292969,1943.928786277771,45329.75389957428,0.3,RecordLink,0.5,0.7722359693877552,50,1943.928786277771,0,Non-IID
27.25,27.25,59.55,16.8,16.8,15.55,1.8155670166015625,1.8155670166015625,1.6576042175292969,6269.11425614357,45329.75389957428,0.4,RecordLink,0.5,0.585510993839681,50,6269.11425614357,0,Non-IID
0,0,59.55,17.1,17.1,15.55,1.8518791198730469,1.8518791198730469,1.6576042175292969,312.14829540252686,45329.75389957428,0.5,RecordLink,0.5,0.8508175743878154,50,312.14829540252686,0,Non-IID
27.5,27.5,59.55,17.15,17.15,15.55,1.8598155975341797,1.8598155975341797,1.6576042175292969,266.5492935180664,45329.75389957428,0.6,RecordLink,0.5,0.402539690783383,50,266.5492935180664,0,Non-IID
30.95,30.95,59.55,17.15,17.15,15.55,1.8566570281982422,1.8566570281982422,1.6576042175292969,709.8365271091461,45329.75389957428,0.7,RecordLink,0.5,0.82933210602589,50,709.8365271091461,0,Non-IID
7.65,7.65,59.55,17.15,17.15,15.55,1.85577392578125,1.85577392578125,1.6576042175292969,30.19300389289856,45329.75389957428,0.8,RecordLink,0.5,0.7758826085525596,50,30.19300389289856,0,Non-IID
33.35,33.35,59.55,17.2,17.2,15.55,1.8652687072753906,1.8652687072753906,1.6576042175292969,17.316145658493042,45329.75389957428,0.9,RecordLink,0.5,0.30975173867903916,50,17.316145658493042,0,Non-IID
39.45,39.45,0,15.850000000000001,15.850000000000001,16.1,1.688568115234375,1.688568115234375,1.7217864990234375,1342.1240220069885,45329.75389957428,0.1,RecordLink,0.5,0.4828423661181321,50,1342.1174218654633,0,Non-IID
5.199999999999999,5.199999999999999,0,16.15,16.15,16.1,1.729543685913086,1.729543685913086,1.7217864990234375,810.0133080482483,45329.75389957428,0.2,RecordLink,0.5,0.5765998095567867,50,810.0078725814819,0,Non-IID
0,0,0,16.2,16.2,16.1,1.7346611022949219,1.7346611022949219,1.7217864990234375,688.4613292217255,45329.75389957428,0.3,RecordLink,0.5,0.8472844383728392,50,688.4567272663116,0,Non-IID
5,5,0,13.25,13.25,16.1,1.3595542907714844,1.3595542907714844,1.7217864990234375,1657.9289875030518,45329.75389957428,0.4,RecordLink,0.5,0.4815027508455893,50,1657.9164526462555,0,Non-IID
2.4,2.4,0,10.350000000000001,10.350000000000001,16.1,0.9944820404052734,0.9944820404052734,1.7217864990234375,2029.3004381656647,45329.75389957428,0.5,RecordLink,0.5,0.851521936623117,50,2029.293065071106,0,Non-IID
0,0,0,10.350000000000001,10.350000000000001,16.1,0.9929103851318359,0.9929103851318359,1.7217864990234375,1084.2658212184906,45329.75389957428,0.6,RecordLink,0.5,0.6676058150785817,50,1084.256451845169,0,Non-IID
27.5,27.5,0,10.3,10.3,16.1,0.9882526397705078,0.9882526397705078,1.7217864990234375,1073.7285718917847,45329.75389957428,0.7,RecordLink,0.5,0.8008412184320227,50,1073.7228944301605,0,Non-IID
27.5,27.5,0,10.4,10.4,16.1,1.0043468475341797,1.0043468475341797,1.7217864990234375,2972.9804871082306,45329.75389957428,0.8,RecordLink,0.5,0.7186353418325864,50,2972.966133117676,0,Non-IID
2.5,2.5,0,10.5,10.5,16.1,1.0173931121826172,1.0173931121826172,1.7217864990234375,171.3394536972046,45329.75389957428,0.9,RecordLink,0.5,0.8506809646176716,50,171.3347704410553,0,Non-IID
5,5,0,10.35,10.35,16.1,0.9970722198486328,0.9970722198486328,1.7217864990234375,1804.650872707367,45329.75389957428,0.1,RecordLink,0.5,0.5,50,1804.6507880687714,0.5,Non-IID
0,0,0,10.1,10.1,16.1,0.9627590179443359,0.9627590179443359,1.7217864990234375,9.747175455093384,45329.75389957428,0.2,RecordLink,0.5,0.3605,50,9.747103214263916,0.5,Non-IID
2.4,2.4,0,10.05,10.05,16.1,0.9590358734130859,0.9590358734130859,1.7217864990234375,1085.6786398887634,45329.75389957428,0.3,RecordLink,0.5,0.95,50,1085.6771275997162,0.5,Non-IID
2.5,2.5,0,10.05,10.05,16.1,0.9591541290283203,0.9591541290283203,1.7217864990234375,748.1582410335541,45329.75389957428,0.4,RecordLink,0.5,0.715125,50,748.1581594944,0.5,Non-IID
26.2,26.2,0,10.05,10.05,16.1,0.9566841125488281,0.9566841125488281,1.7217864990234375,1088.9324061870575,45329.75389957428,0.5,RecordLink,0.5,0.95,50,1088.9301691055298,0.5,Non-IID
26.3,26.3,0,10.1,10.1,16.1,0.9611701965332031,0.9611701965332031,1.7217864990234375,3327.6268305778503,45329.75389957428,0.6,RecordLink,0.5,0.9667999999999999,50,3327.625957965851,0.5,Non-IID
2.4,2.4,0,10.1,10.1,16.1,0.9590206146240234,0.9590206146240234,1.7217864990234375,1259.1463215351105,45329.75389957428,0.7,RecordLink,0.5,0.5,50,1259.1462426185608,0.5,Non-IID
4.75,4.75,0,10.1,10.1,16.1,0.9610748291015625,0.9610748291015625,1.7217864990234375,137.1698281764984,45329.75389957428,0.8,RecordLink,0.5,0.5,50,137.16970372200012,0.5,Non-IID
52.65,52.65,7.199999999999999,16.2,16.2,17.2,1.7347278594970703,1.7347278594970703,1.8642730712890625,508.85845828056335,45329.75389957428,0.1,RecordLink,0.5,0.8890423572744015,100,508.85376620292664,0,Non-IID
2.65,2.65,7.199999999999999,16.95,16.95,17.2,1.8319377899169922,1.8319377899169922,1.8642730712890625,317.28440380096436,45329.75389957428,0.2,RecordLink,0.5,0.6681279790679626,100,317.2806975841522,0,Non-IID
9.55,9.55,7.199999999999999,16.65,16.65,17.2,1.794301986694336,1.794301986694336,1.8642730712890625,68.97957134246826,45329.75389957428,0.3,RecordLink,0.5,0.5484521181137014,100,68.97621583938599,0,Non-IID
2.5,2.5,7.199999999999999,16.65,16.65,17.2,1.7908687591552734,1.7908687591552734,1.8642730712890625,302.84868478775024,45329.75389957428,0.4,RecordLink,0.5,0.8182240211916754,100,302.8451704978943,0,Non-IID
35.7,35.7,7.199999999999999,16.75,16.75,17.2,1.7992000579833984,1.7992000579833984,1.8642730712890625,17.74077582359314,45329.75389957428,0.5,RecordLink,0.5,0.8467140714983095,100,17.738476514816284,0,Non-IID
