CPU_Usage,CPU_UsageFedFCA,CPU_Usage_Classical_FCA,RAM_Usage,RAM_UsageFedFCA,RAM_Usage_Classical_FCA,RAM_Used,RAM_UsedFedFCA,RAM_Used_Classical_FCA,Runtime FedFCA_ARES_LDP,Runtime_Classical_FCA,context_sensitivity,dataset_name,fraction,global_stability,num_providers,runtimeFedFCA,threshold,type_partition
2.4,2.4,2.4,14,14,14.4,1.4575443267822266,1.4575443267822266,1.5045032501220703,59.54512023925781,2977.2560119628906,0.1,Skin,0.5,1,50,59.54494333267212,0.8,IID
0,0,2.4,14.4,14.4,14.4,1.5061454772949219,1.5061454772949219,1.5045032501220703,50.80688261985779,2977.2560119628906,0.2,Skin,0.5,0.5,50,50.80670380592346,0.8,IID
7.5,7.5,2.4,14.350000000000001,14.350000000000001,14.4,1.5053768157958984,1.5053768157958984,1.5045032501220703,62.717609167099,2977.2560119628906,0.30000000000000004,Skin,0.5,0.5,50,62.71749544143677,0.8,IID
7.9,7.9,2.4,14.350000000000001,14.350000000000001,14.4,1.5054302215576172,1.5054302215576172,1.5045032501220703,58.43315625190735,2977.2560119628906,0.4,Skin,0.5,1,50,58.433035135269165,0.8,IID
2.5,2.5,2.4,14.45,14.45,14.4,1.5147666931152344,1.5147666931152344,1.5045032501220703,49.17306661605835,2977.2560119628906,0.5,Skin,0.5,0.5,50,49.1729416847229,0.8,IID
27.5,27.5,2.4,14.35,14.35,14.4,1.5056495666503906,1.5056495666503906,1.5045032501220703,54.18096733093262,2977.2560119628906,0.6,Skin,0.5,0.75,50,54.18079972267151,0.8,IID
15,15,2.4,14.25,14.25,14.4,1.49383544921875,1.49383544921875,1.5045032501220703,48.107733964920044,2977.2560119628906,0.7000000000000001,Skin,0.5,0.5,50,48.10763931274414,0.8,IID
7.65,7.65,2.4,14.350000000000001,14.350000000000001,14.4,1.5057487487792969,1.5057487487792969,1.5045032501220703,56.54150032997131,2977.2560119628906,0.8,Skin,0.5,0.75,50,56.54138731956482,0.8,IID
32.5,32.5,2.4,14.4,14.4,14.4,1.5113887786865234,1.5113887786865234,1.5045032501220703,62.40530824661255,2977.2560119628906,0.9,Skin,0.5,1,50,62.40518045425415,0.8,IID
40.45,40.45,2.4,14.4,14.4,14.4,1.5111732482910156,1.5111732482910156,1.5045032501220703,50.12123250961304,2977.2560119628906,0.1,Skin,0.5,0.4211326962147155,50,50.12002897262573,0,IID
