CPU_Usage,CPU_UsageFedFCA,CPU_Usage_Classical_FCA,RAM_Usage,RAM_UsageFedFCA,RAM_Usage_Classical_FCA,RAM_Used,RAM_UsedFedFCA,RAM_Used_Classical_FCA,Runtime FedFCA_ARES_LDP,Runtime_Classical_FCA,context_sensitivity,dataset_name,fraction,global_stability,num_providers,runtimeFedFCA,threshold,type_partition
32.05,32.05,58.45,9.8,9.8,10.2,0.9282455444335938,0.9282455444335938,0.9821624755859375,59.23809027671814,2961.904513835907,0.1,T10I4D100K,0.5,0.9140104895104895,50,59.23784899711609,0.8,IID
48.7,48.7,58.45,10.2,10.2,10.2,0.9804515838623047,0.9804515838623047,0.9821624755859375,54.76282453536987,2961.904513835907,0.2,T10I4D100K,0.5,0.9415557275541796,50,54.762615442276,0.8,IID
53.7,53.7,58.45,10.2,10.2,10.2,0.9772377014160156,0.9772377014160156,0.9821624755859375,55.411123275756836,2961.904513835907,0.30000000000000004,T10I4D100K,0.5,0.9138020833333333,50,55.410980224609375,0.8,IID
57.5,57.5,58.45,10.2,10.2,10.2,0.9796237945556641,0.9796237945556641,0.9821624755859375,54.6319842338562,2961.904513835907,0.4,T10I4D100K,0.5,0.9281565656565657,50,54.63189220428467,0.8,IID
67.05,67.05,58.45,10.149999999999999,10.149999999999999,10.2,0.9746856689453125,0.9746856689453125,0.9821624755859375,59.923410415649414,2961.904513835907,0.5,T10I4D100K,0.5,0.8748690476190476,50,59.92326736450195,0.8,IID
28.95,28.95,58.45,10.149999999999999,10.149999999999999,10.2,0.9738903045654297,0.9738903045654297,0.9821624755859375,56.458637952804565,2961.904513835907,0.6,T10I4D100K,0.5,0.9291961805555555,50,56.458510875701904,0.8,IID
2.4,2.4,58.45,10.1,10.1,10.2,0.9687957763671875,0.9687957763671875,0.9821624755859375,56.398096799850464,2961.904513835907,0.7000000000000001,T10I4D100K,0.5,0.9424038461538462,50,56.3979811668396,0.8,IID
7.5,7.5,58.45,10.1,10.1,10.2,0.9693775177001953,0.9693775177001953,0.9821624755859375,55.3746132850647,2961.904513835907,0.8,T10I4D100K,0.5,0.9237880952380951,50,55.374507904052734,0.8,IID
0,0,58.45,10.2,10.2,10.2,0.9775581359863281,0.9775581359863281,0.9821624755859375,55.141743659973145,2961.904513835907,0.9,T10I4D100K,0.5,0.9375,50,55.14166045188904,0.8,IID
2.4,2.4,58.45,10.149999999999999,10.149999999999999,10.2,0.9750442504882812,0.9750442504882812,0.9821624755859375,56.688055753707886,2961.904513835907,0.1,T10I4D100K,0.5,0.3660680177605851,50,56.68590044975281,0,IID
2.4,2.4,58.45,10.2,10.2,10.2,0.9813213348388672,0.9813213348388672,0.9821624755859375,57.87681746482849,2961.904513835907,0.2,T10I4D100K,0.5,0.34834732764542853,50,57.87452673912048,0,IID
5.3,5.3,58.45,10.3,10.3,10.2,0.9939193725585938,0.9939193725585938,0.9821624755859375,58.45248556137085,2961.904513835907,0.30000000000000004,T10I4D100K,0.5,0.3704445466057154,50,58.450305700302124,0,IID
32.25,32.25,58.45,10.350000000000001,10.350000000000001,10.2,0.9992599487304688,0.9992599487304688,0.9821624755859375,57.658607482910156,2961.904513835907,0.4,T10I4D100K,0.5,0.34308534792207385,50,57.6562283039093,0,IID
26.2,26.2,58.45,10.4,10.4,10.2,1.0022392272949219,1.0022392272949219,0.9821624755859375,58.34321641921997,2961.904513835907,0.5,T10I4D100K,0.5,0.35935458932775854,50,58.3391478061676,0,IID
2.5,2.5,58.45,10.4,10.4,10.2,1.005239486694336,1.005239486694336,0.9821624755859375,58.18851161003113,2961.904513835907,0.6,T10I4D100K,0.5,0.3287257127401678,50,58.18602204322815,0,IID
0,0,58.45,10.4,10.4,10.2,1.0057716369628906,1.0057716369628906,0.9821624755859375,57.44697308540344,2961.904513835907,0.7000000000000001,T10I4D100K,0.5,0.3983405072754175,50,57.444793462753296,0,IID
2.5,2.5,58.45,10.4,10.4,10.2,1.0043926239013672,1.0043926239013672,0.9821624755859375,58.25785779953003,2961.904513835907,0.8,T10I4D100K,0.5,0.300991212547422,50,58.255615234375,0,IID
44.1,44.1,58.45,10.3,10.3,10.2,0.9912128448486328,0.9912128448486328,0.9821624755859375,59.0254168510437,2961.904513835907,0.9,T10I4D100K,0.5,0.37761052068819956,50,59.01871585845947,0,IID
32.5,32.5,58.45,10.25,10.25,10.2,0.9869441986083984,0.9869441986083984,0.9821624755859375,59.2462682723999,2961.904513835907,0.1,T10I4D100K,0.5,0.7441923701298699,50,59.246156215667725,0.5,IID
14.3,14.3,58.45,10.350000000000001,10.350000000000001,10.2,1.0026683807373047,1.0026683807373047,0.9821624755859375,56.606043100357056,2961.904513835907,0.2,T10I4D100K,0.5,0.7755384199134199,50,56.60591197013855,0.5,IID
5.15,5.15,58.45,10.45,10.45,10.2,1.0117111206054688,1.0117111206054688,0.9821624755859375,56.58626079559326,2961.904513835907,0.30000000000000004,T10I4D100K,0.5,0.7817595165323695,50,56.58612871170044,0.5,IID
2.4,2.4,58.45,10.45,10.45,10.2,1.0095081329345703,1.0095081329345703,0.9821624755859375,56.93980073928833,2961.904513835907,0.4,T10I4D100K,0.5,0.7715891472868216,50,56.939687728881836,0.5,IID
10.25,10.25,58.45,10.350000000000001,10.350000000000001,10.2,0.9981842041015625,0.9981842041015625,0.9821624755859375,55.87249946594238,2961.904513835907,0.5,T10I4D100K,0.5,0.750998062015504,50,55.87238073348999,0.5,IID
