CPU_Usage,CPU_UsageFedFCA,CPU_Usage_Classical_FCA,RAM_Usage,RAM_UsageFedFCA,RAM_Usage_Classical_FCA,RAM_Used,RAM_UsedFedFCA,RAM_Used_Classical_FCA,Runtime FedFCA_ARES_LDP,Runtime_Classical_FCA,context_sensitivity,dataset_name,fraction,global_stability,num_providers,runtimeFedFCA,threshold,type_partition
26.2,26.2,0,10.45,10.45,10.4,1.0039634704589844,1.0039634704589844,0.9955978393554688,8.726617813110352,87.26617813110352,0.1,chess,0.5,0.3187888970592442,10,8.72568392753601,0,IID
0,0,0,10.4,10.4,10.4,0.9997100830078125,0.9997100830078125,0.9955978393554688,9.167486190795898,87.26617813110352,0.2,chess,0.5,0.3041988094814145,10,9.166577577590942,0,IID
7.15,7.15,0,10.4,10.4,10.4,1.0036430358886719,1.0036430358886719,0.9955978393554688,7.337938547134399,87.26617813110352,0.3,chess,0.5,0.3404456044748552,10,7.337004661560059,0,IID
12,12,0,10.45,10.45,10.4,1.0092639923095703,1.0092639923095703,0.9955978393554688,8.597123146057129,87.26617813110352,0.4,chess,0.5,0.3253146270977379,10,8.596152067184448,0,IID
37.5,37.5,0,10.45,10.45,10.4,1.0089569091796875,1.0089569091796875,0.9955978393554688,8.053478956222534,87.26617813110352,0.5,chess,0.5,0.3510502104257543,10,8.051932096481323,0,IID
35.85,35.85,0,10.4,10.4,10.4,1.0035018920898438,1.0035018920898438,0.9955978393554688,7.7531678676605225,87.26617813110352,0.6,chess,0.5,0.3106596643075554,10,7.752227067947388,0,IID
0,0,0,10.4,10.4,10.4,1.005075454711914,1.005075454711914,0.9955978393554688,8.816920280456543,87.26617813110352,0.7,chess,0.5,0.3305145287491183,10,8.815964937210083,0,IID
5,5,0,10.4,10.4,10.4,1.0060615539550781,1.0060615539550781,0.9955978393554688,7.363699674606323,87.26617813110352,0.8,chess,0.5,0.2931864545035128,10,7.36255407333374,0,IID
0,0,0,10.4,10.4,10.4,1.002035140991211,1.002035140991211,0.9955978393554688,8.998531341552734,87.26617813110352,0.9,chess,0.5,0.3344860177932222,10,8.997581005096436,0,IID
26.3,26.3,0,10.4,10.4,10.4,1.0001182556152344,1.0001182556152344,0.9955978393554688,8.166934967041016,87.26617813110352,0.1,chess,0.5,0.55,10,8.166834831237793,0.2,IID
31.2,31.2,0,10.4,10.4,10.4,1.00250244140625,1.00250244140625,0.9955978393554688,6.15601110458374,87.26617813110352,0.2,chess,0.5,0.515625,10,6.1559507846832275,0.2,IID
2.5,2.5,0,10.350000000000001,10.350000000000001,10.4,0.9974460601806641,0.9974460601806641,0.9955978393554688,7.960353374481201,87.26617813110352,0.3,chess,0.5,0,10,7.960314989089966,0.2,IID
0,0,0,10.3,10.3,10.4,0.9918899536132812,0.9918899536132812,0.9955978393554688,6.550177812576294,87.26617813110352,0.4,chess,0.5,0.25,10,6.550138473510742,0.2,IID
2.5,2.5,0,10.350000000000001,10.350000000000001,10.4,0.9935092926025391,0.9935092926025391,0.9955978393554688,7.454246759414673,87.26617813110352,0.5,chess,0.5,0.4959677419354838,10,7.4542014598846436,0.2,IID
2.5,2.5,0,10.4,10.4,10.4,0.9952526092529297,0.9952526092529297,0.9955978393554688,6.273947715759277,87.26617813110352,0.6,chess,0.5,0.5262345679012346,10,6.273905277252197,0.2,IID
6.949999999999999,6.949999999999999,0,10.45,10.45,10.4,1.004293441772461,1.004293441772461,0.9955978393554688,7.465583801269531,87.26617813110352,0.7,chess,0.5,0.875,10,7.465532541275024,0.2,IID
2.5,2.5,0,10.5,10.5,10.4,1.0132369995117188,1.0132369995117188,0.9955978393554688,6.640365839004517,87.26617813110352,0.8,chess,0.5,0.4947916666666667,10,6.64029598236084,0.2,IID
5,5,0,10.45,10.45,10.4,1.0060901641845703,1.0060901641845703,0.9955978393554688,7.87548041343689,87.26617813110352,0.9,chess,0.5,0.3763888888888889,10,7.875433921813965,0.2,IID
4.9,4.9,0,10.45,10.45,10.4,1.0052299499511719,1.0052299499511719,0.9955978393554688,12.241797924041748,87.26617813110352,0.1,chess,0.75,0.27558227514826733,10,12.240865230560303,0,IID
2.5,2.5,0,10.5,10.5,10.4,1.0115318298339844,1.0115318298339844,0.9955978393554688,12.060944318771362,87.26617813110352,0.2,chess,0.75,0.27226115151010905,10,12.059997797012329,0,IID
5,5,0,10.5,10.5,10.4,1.012838363647461,1.012838363647461,0.9955978393554688,12.31474256515503,87.26617813110352,0.3,chess,0.75,0.29034273487990314,10,12.313265085220337,0,IID
4.75,4.75,0,10.5,10.5,10.4,1.0141487121582031,1.0141487121582031,0.9955978393554688,12.527497053146362,87.26617813110352,0.4,chess,0.75,0.2676363114286546,10,12.5258948802948,0,IID
40.6,40.6,0,10.5,10.5,10.4,1.016448974609375,1.016448974609375,0.9955978393554688,11.86784315109253,87.26617813110352,0.5,chess,0.75,0.2863603264762727,10,11.86642074584961,0,IID
66.7,66.7,0,10.45,10.45,10.4,1.0092182159423828,1.0092182159423828,0.9955978393554688,10.717312335968018,87.26617813110352,0.6,chess,0.75,0.26095411081629644,10,10.716251134872437,0,IID
32.5,32.5,0,10.4,10.4,10.4,1.0014171600341797,1.0014171600341797,0.9955978393554688,11.88520622253418,87.26617813110352,0.7,chess,0.75,0.2784488006002575,10,11.884268522262573,0,IID
0,0,0,10.45,10.45,10.4,1.0054244995117188,1.0054244995117188,0.9955978393554688,12.731970310211182,87.26617813110352,0.8,chess,0.75,0.26203159672462883,10,12.730883836746216,0,IID
